Grupo que inclui o Aluno com o No 72628
MEIO-TP1 - Numero de unidades de artigos compradas por cada cliente
Numero/Frequencia
1	67
2	71
3	88
4	81
5	82
6	96
7	98
8	88
9	91
10	102
11	89
12	89
13	64
14	76
15	74
16	90
17	83
18	120
19	100
20	95
21	106
22	104
23	122
24	109
25	144
26	140
27	122
28	156
29	159
30	146
31	156
32	170
33	183
34	185
35	201
36	187
37	197
38	187
39	206
40	204
41	206
42	199
43	196
44	242
45	220
46	225
47	243
48	263
49	257
50	227
51	213
52	213
53	203
54	203
55	202
56	203
57	175
58	176
59	172
60	145
61	164
62	145
63	113
64	100
65	129
66	110
67	95
68	98
69	86
70	85
71	68
72	72
73	54
74	45
75+	122
